episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),mean_comfort_violation,std_comfort_violation,cumulative_comfort_violation,length(timesteps),time_elapsed(seconds)
0,-5197.90984220918,-1.6920279434274674,24418551.104700282,7948.747104394623,-7953.964573948332,-2.589181176415473,-2441.855110470028,-0.7948747104394623,49.57682291666667,2.589181176415473,6.758777640437925,7953.964573948332,3072,2764800
1,-5416.502474277436,-1.7631843991788527,25068331.47642644,8160.264152482566,-8326.171800912227,-2.710342383109449,-2506.8331476426442,-0.8160264152482566,46.84244791666667,2.710342383109449,15.094886154795288,8326.171800912227,3072,2764800
2,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,nan,nan,0.0,0,0
3,-3601.711250846136,-1.1724320478014765,24179793.205356125,7871.026434035197,-4785.443181156659,-1.5577614521994334,-2417.9793205356127,-0.7871026434035198,80.6640625,1.5577614521994334,1.592009642817399,4785.443181156659,3072,2764800
4,-3601.711250846136,-1.1724320478014765,24179793.205356125,7871.026434035197,-4785.443181156659,-1.5577614521994334,-2417.9793205356127,-0.7871026434035198,80.6640625,1.5577614521994334,1.592009642817399,4785.443181156659,3072,2764800
5,-4148.932943092784,-1.3505641090796823,26610958.051755607,8662.421240805861,-5636.770081010007,-1.8348860940787783,-2661.095805175561,-0.8662421240805863,41.92708333333333,1.8348860940787783,6.063988781738824,5636.770081010007,3072,2764800
6,-4474.284847991209,-1.456472932288805,27375999.35378742,8911.458122977676,-6210.969760603677,-2.021800052279843,-2737.5999353787415,-0.8911458122977675,38.83463541666667,2.021800052279843,11.814941875222669,6210.969760603677,3072,2764800
7,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,nan,nan,0.0,0,0
8,-3328.0084037066126,-1.083336068914913,27009856.509981327,8792.27099934288,-3955.0311564150925,-1.287445037895538,-2700.9856509981328,-0.879227099934288,71.32161458333334,1.287445037895538,2.1533614714202782,3955.0311564150925,3072,2764800
9,-3328.0084037066126,-1.083336068914913,27009856.509981327,8792.27099934288,-3955.0311564150925,-1.287445037895538,-2700.9856509981328,-0.879227099934288,71.32161458333334,1.287445037895538,2.1533614714202782,3955.0311564150925,3072,2764800
10,-3745.3771701186606,-1.2191982975646682,28686914.22111604,9338.188223019544,-4622.062918125716,-1.5045777728273817,-2868.691422111604,-0.9338188223019545,34.99348958333333,1.5045777728273817,8.356543055266748,4622.062918125716,3072,2764800
11,-3574.1160730026168,-1.1634492425138727,29549866.651341256,9619.097217233482,-4193.245480871108,-1.3649887633043971,-2954.986665134126,-0.9619097217233482,31.510416666666668,1.3649887633043971,9.146163465136818,4193.245480871108,3072,2764800
12,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,nan,nan,0.0,0,0
13,-2545.199969290902,-0.8285156150035489,33271249.530063894,10830.484873067673,-1763.2749855754146,-0.5739827427003302,-3327.1249530063897,-1.0830484873067674,12.141927083333332,0.5739827427003302,2.0431283848000623,1763.2749855754146,3072,2764800
14,-2545.199969290902,-0.8285156150035489,33271249.530063894,10830.484873067673,-1763.2749855754146,-0.5739827427003302,-3327.1249530063897,-1.0830484873067674,12.141927083333332,0.5739827427003302,2.0431283848000623,1763.2749855754146,3072,2764800
15,-4845.433588202217,-1.5772895794929092,30236895.01577776,9842.73926294849,-6667.177674826658,-2.1703052326909695,-3023.6895015777764,-0.9842739262948491,30.305989583333332,2.1703052326909695,22.337845184342566,6667.177674826658,3072,2764800
16,-3062.576169989283,-0.9969323470017196,31344431.32114558,10203.265404018743,-2990.709207864008,-0.9735381536015651,-3134.4431321145576,-1.0203265404018742,26.888020833333332,0.9735381536015651,4.487201557185669,2990.709207864008,3072,2764800
17,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,nan,nan,0.0,0,0
18,-2381.3989353278284,-0.7751949659270275,35581933.89018561,11582.660771544795,-1204.6044816370963,-0.3921238546995756,-3558.1933890185605,-1.1582660771544793,11.490885416666668,0.3921238546995756,1.3254954468619964,1204.6044816370963,3072,2764800
19,-2381.3989353278284,-0.7751949659270275,35581933.89018561,11582.660771544795,-1204.6044816370963,-0.3921238546995756,-3558.1933890185605,-1.1582660771544793,11.490885416666668,0.3921238546995756,1.3254954468619964,1204.6044816370963,3072,2764800
20,-3648.241789133352,-1.1875787074001798,31406330.18630907,10223.41477418915,-4155.850559635797,-1.3528159373814443,-3140.6330186309074,-1.0223414774189152,25.29296875,1.3528159373814443,15.12641255269761,4155.850559635797,3072,2764800
21,-2774.3776096788556,-0.9031177114840024,32648992.881186403,10627.927370177866,-2283.8559312390703,-0.7434426859502182,-3264.8992881186405,-1.0627927370177865,20.930989583333336,0.7434426859502182,4.731475989058281,2283.8559312390703,3072,2764800
22,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,nan,nan,0.0,0,0
23,-2357.898324603034,-0.76754502754005,37970865.61883639,12360.307818631636,-918.7100873224284,-0.2990592732169363,-3797.0865618836388,-1.2360307818631637,10.64453125,0.2990592732169363,0.9950670575537214,918.7100873224284,3072,2764800
24,-2357.898324603034,-0.76754502754005,37970865.61883639,12360.307818631636,-918.7100873224284,-0.2990592732169363,-3797.0865618836388,-1.2360307818631637,10.64453125,0.2990592732169363,0.9950670575537214,918.7100873224284,3072,2764800
25,-2655.567927625615,-0.8644426847739632,32949119.438434444,10725.624817198712,-2016.2239114077852,-0.656322887828055,-3294.9119438434445,-1.0725624817198713,21.419270833333336,0.656322887828055,3.166275769904384,2016.2239114077852,3072,2764800
26,-2459.8805343022727,-0.8007423614265211,34561166.2875674,11250.379650900846,-1463.6444398478066,-0.47644675776295786,-3456.1166287567403,-1.1250379650900848,16.796875,0.47644675776295786,2.025646871610951,1463.6444398478066,3072,2764800
27,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,nan,nan,0.0,0,0
28,-2402.175879590921,-0.7819582941376696,41098684.99817434,13378.478189509877,-694.4832593644076,-0.2260687693243514,-4109.868499817434,-1.3378478189509877,9.147135416666668,0.2260687693243514,0.8195318732155414,694.4832593644076,3072,2764800
29,-2402.175879590921,-0.7819582941376696,41098684.99817434,13378.478189509877,-694.4832593644076,-0.2260687693243514,-4109.868499817434,-1.3378478189509877,9.147135416666668,0.2260687693243514,0.8195318732155414,694.4832593644076,3072,2764800
30,-2468.962434511138,-0.803698709150761,34500557.62259188,11230.650267770796,-1487.8691067630875,-0.4843323915244426,-3450.055762259188,-1.1230650267770794,16.373697916666664,0.4843323915244426,3.136443798031894,1487.8691067630875,3072,2764800
31,-2387.752147396406,-0.7772630688139343,34692631.0878482,11293.174182242254,-1306.2411860079917,-0.42520871940364313,-3469.263108784821,-1.1293174182242256,16.276041666666664,0.42520871940364313,1.7888375585166536,1306.2411860079917,3072,2764800
32,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,nan,nan,0.0,0,0
33,-2194.4918117885845,-0.7143528033165966,40168604.00169273,13075.717448467685,-372.12322340789706,-0.12113386178642482,-4016.860400169272,-1.3075717448467683,5.56640625,0.12113386178642482,0.5437589857088007,372.12322340789706,3072,2764800
34,-2194.4918117885845,-0.7143528033165966,40168604.00169273,13075.717448467685,-372.12322340789706,-0.12113386178642482,-4016.860400169272,-1.3075717448467683,5.56640625,0.12113386178642482,0.5437589857088007,372.12322340789706,3072,2764800
35,-2440.4000018608413,-0.7944010422724093,34656292.752130866,11281.3452969176,-1415.1707285085963,-0.4606675548530587,-3465.6292752130867,-1.12813452969176,16.731770833333336,0.4606675548530587,2.520296916643644,1415.1707285085963,3072,2764800
36,-2354.71550660114,-0.7665089539717252,34462171.765386455,11218.15487154507,-1263.2138366636343,-0.4112024207889435,-3446.2171765386456,-1.121815487154507,16.243489583333336,0.4112024207889435,1.400811061921152,1263.2138366636343,3072,2764800
37,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,nan,nan,0.0,0,0
38,-2245.5496673225734,-0.7309731989982335,40857168.512988746,13299.859541988524,-405.38248334627195,-0.13196044379761457,-4085.7168512988756,-1.3299859541988528,5.501302083333334,0.13196044379761457,0.5814452448593614,405.38248334627195,3072,2764800
39,-2245.5496673225734,-0.7309731989982335,40857168.512988746,13299.859541988524,-405.38248334627195,-0.13196044379761457,-4085.7168512988756,-1.3299859541988528,5.501302083333334,0.13196044379761457,0.5814452448593614,405.38248334627195,3072,2764800
40,-2400.2180964554495,-0.781320994939925,34461781.81612162,11218.027934935424,-1354.2580112987366,-0.4408391963863075,-3446.1781816121625,-1.1218027934935424,17.024739583333336,0.4408391963863075,1.572165393303372,1354.2580112987366,3072,2764800
41,-2594.838668277666,-0.8446740456633027,34080055.79905984,11093.768163756458,-1781.6717566493478,-0.5799712749509596,-3408.0055799059837,-1.1093768163756457,17.545572916666664,0.5799712749509596,3.7850240972460143,1781.6717566493478,3072,2764800
42,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,nan,nan,0.0,0,0
43,-2257.3672675946746,-0.7348200740868082,40907292.65897952,13316.175995761563,-424.00526929139795,-0.13802254859746027,-4090.7292658979513,-1.331617599576156,8.3984375,0.13802254859746027,0.5001874678609344,424.00526929139795,3072,2764800
44,-2257.3672675946746,-0.7348200740868082,40907292.65897952,13316.175995761563,-424.00526929139795,-0.13802254859746027,-4090.7292658979513,-1.331617599576156,8.3984375,0.13802254859746027,0.5001874678609344,424.00526929139795,3072,2764800
45,-2357.7047676713883,-0.7674820207263634,34652028.364744306,11279.95714998187,-1250.2066988683464,-0.40696832645453984,-3465.2028364744306,-1.127995714998187,17.057291666666664,0.40696832645453984,1.1685382393231798,1250.2066988683464,3072,2764800
46,-2324.0277801842385,-0.7565194596953901,34766867.790803954,11317.339775652328,-1171.3687812880817,-0.3813049418255474,-3476.686779080396,-1.131733977565233,15.397135416666666,0.3813049418255474,1.3569115899801545,1171.3687812880817,3072,2764800
47,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,nan,nan,0.0,0,0
48,-2177.8040973611696,-0.7089206046097557,40680008.194871336,13242.190167601346,-287.6073752352056,-0.09362219245937682,-4068.000819487134,-1.3242190167601346,4.98046875,0.09362219245937682,0.4804827246651472,287.6073752352056,3072,2764800
49,-2177.8040973611696,-0.7089206046097557,40680008.194871336,13242.190167601346,-287.6073752352056,-0.09362219245937682,-4068.000819487134,-1.3242190167601346,4.98046875,0.09362219245937682,0.4804827246651472,287.6073752352056,3072,2764800
50,-2306.211625598721,-0.750719930207917,34980813.71485319,11386.983631137105,-1114.3418797121244,-0.36274149730212385,-3498.0813714853193,-1.1386983631137106,14.94140625,0.36274149730212385,1.2640146448325207,1114.3418797121244,3072,2764800
51,-2314.5000108555614,-0.7534179722837114,35221975.01478611,11465.48665845902,-1106.8025202325125,-0.360287278721521,-3522.197501478611,-1.1465486658459019,14.192708333333334,0.360287278721521,1.4938882592340672,1106.8025202325125,3072,2764800
52,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,nan,nan,0.0,0,0
53,-2235.487075135623,-0.7276976156040439,41279997.442302935,13437.49916741632,-342.97440604095164,-0.1116453144664556,-4127.999744230294,-1.343749916741632,4.947916666666666,0.1116453144664556,0.6102004207366497,342.97440604095164,3072,2764800
54,-2235.487075135623,-0.7276976156040439,41279997.442302935,13437.49916741632,-342.97440604095164,-0.1116453144664556,-4127.999744230294,-1.343749916741632,4.947916666666666,0.1116453144664556,0.6102004207366497,342.97440604095164,3072,2764800
55,-2320.1352879970955,-0.7552523723948878,35230823.65009616,11468.36707359901,-1117.1882109845742,-0.3636680374298744,-3523.082365009617,-1.1468367073599015,14.485677083333334,0.3636680374298744,2.1639872540281297,1117.1882109845742,3072,2764800
56,-2223.5036730755946,-0.7237967685792951,35776477.71728099,11645.98884026074,-869.3595744230895,-0.2829946531325161,-3577.6477717280995,-1.1645988840260741,12.174479166666668,0.2829946531325161,1.0963375250459613,869.3595744230895,3072,2764800
57,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,nan,nan,0.0,0,0
58,-2242.0578464862183,-0.7298365385697325,41426174.393273994,13485.082810310545,-341.49825364503704,-0.1111647961084105,-4142.6174393274,-1.3485082810310545,5.533854166666666,0.1111647961084105,0.5464586734057417,341.49825364503704,3072,2764800
59,-2242.0578464862183,-0.7298365385697325,41426174.393273994,13485.082810310545,-341.49825364503704,-0.1111647961084105,-4142.6174393274,-1.3485082810310545,5.533854166666666,0.1111647961084105,0.5464586734057417,341.49825364503704,3072,2764800
60,-2296.0914971050543,-0.7474256175472181,35904185.3763758,11687.560343872332,-1001.7644565725278,-0.32609520070720305,-3590.4185376375804,-1.1687560343872332,12.858072916666666,0.32609520070720305,2.2526246092948363,1001.7644565725278,3072,2764800
61,-2146.051049641147,-0.6985843260550609,36601141.50893645,11914.43408494025,-631.9879483886479,-0.20572524361609631,-3660.1141508936453,-1.191443408494025,10.123697916666668,0.20572524361609631,0.7845221546981707,631.9879483886479,3072,2764800
62,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,nan,nan,0.0,0,0
63,-2210.940452503883,-0.7197071785494411,41382286.54108305,13470.79640009214,-283.652250899461,-0.0923347170896683,-4138.228654108305,-1.3470796400092138,3.1575520833333335,0.0923347170896683,0.5991798753066343,283.652250899461,3072,2764800
